Site No.,Station Type,Address,Lat,Long,Elev(m),Team,,,
D2001019,Level,Bayswater MD - M101 (Inlet A018 Clavering Rd),-31.91881,115.92214,,Conveyance,,,
D2001021,Level,"Peters Place Reserve, Light Street Morley ",-31.89506,115.88880,,Conveyance,,,
D2001023,Level,Woodbridge Creek BD - M021 (Inlet B009/Farrall Rd),-31.88485,116.03325,,Conveyance,,,
D2001025,Level,Woodbridge Creek BD - M029 (Inlet E001/Morrison Rd CB),-31.88602,116.04573,,Conveyance,,,
D2001027,Level,Blackadder Creek MD - U/S of A023? (Gt Nth Hwy)  try A018?,-31.87633,116.00942,,Conveyance,,,
D2001029,Level,Kardinya BD - M080 (Frederick Balwin Pk CB),-32.05898,115.81464,,Conveyance,,,
D2001031,Level,Bateman Road BD - M051 (Endeavour Ave CB),-32.05921,115.85186,,Conveyance,,,
D2001033,Level,Delawney BD - M016 (Cressall Rd CB),-31.86172,115.81197,,Conveyance,,,
D2001035,Level,Delawney BD - M017 (Whipple St CB/Inlet E018),-31.86263,115.80722,,Conveyance,,,
D2001037,Level,Delawney BD - M018 (Ledgar Rd CB),-31.86656,115.80574,,Conveyance,,,
D2001039,Level,Dutton Cr BD - M015 (Dutton Cr CB/Inlet F009)   ,-31.85565,115.80675,,Conveyance,,,
D2001041,Level,Merrick Wy BD - M059 (Merrick Wy CB),-31.83397,115.78728,,Conveyance,,,
D2001043,Level,Chapman St MD - M125 (Railway Museum East CB),-31.90875,115.94019,,Conveyance,,,
D2001045,Level,Claisebrook MD - M011 (Smiths Lake CB),-31.93309,115.85105,,Conveyance,,,
D2001047,Level,Powell St MD - M012 (Dog Swamp CB),-31.91038,115.84632,,Conveyance,,,
D2001049,Level,Wellington Pde BD - M119 (Wellington Pde CB),-31.90553,115.84989,,Conveyance,,,
D2001051,Level,Wordsworth Ave BD - M120 (Yokine Res CB),-31.90783,115.85939,,Conveyance,,,
D2001053,Level,Cobb St BD - M107 (Cobb St CB),-31.90690,115.76871,,Conveyance,,,
D2001055,Level,Colin Rd MD - M108 (Colin Rd CB),-31.89971,115.76670,,Conveyance,,,
D2001057,Level,Joyce St BD - M066 (Joyce St CB),-31.89369,115.76351,,Conveyance,,,
D2001059,Level,Abbett Park BD - M109 (Abbett Pk CB),-31.88932,115.76499,,Conveyance,,,
D2001061,Level,Beechboro/Emu Swamp MD - M075 (Inlet A041/Bennett Springs Dr),-31.85756,115.92649,,Conveyance,,,
D2001063,Level,Emu Swamp MD - Hillwater Prom CB/Inlet A019,-31.86129,115.93173,,Conveyance,,,
D2001065,Level,Forrester Rd MD - Forrester Rd CB,-32.30167,115.71740,,Conveyance,,,
D2001067,Level,Osborne Park BD - Inlet H011 (Scarborough Beach Rd),-31.90321,115.80066,,Conveyance,,,
D2001069,Level,Mills St MD - M033 (Pilbara St CB),-31.98964,115.94404,,Conveyance,,,
D2001071,Level,Mills St MD - M034 (Inlet A027 Mills St/Meuse Wy),-32.00132,115.93388,,Conveyance,,,
D2001073,Level,Welshpool BD - M036 (Charles St CB),-31.99607,115.92219,,Conveyance,,,
D2001075,Level,Welshpool BD - M053 (Ellam St East CB),-31.99608,115.91790,,Conveyance,,,
D2001077,Level,Abernethy Rd BD - M067 (Division St CB),-31.98752,115.93773,,Conveyance,,,
D2001079,Level,Welshpool BD - M069 (Forward St CB),-31.99188,115.91708,,Conveyance,,,
D2001081,Level,Welshpool BD - M078 (Alexandra Pl CB),-32.00481,115.92576,,Conveyance,,,
D2001083,Level,Mills St MD - M035 (MH A019/Sevenoaks St) - was GIS041 changed location,-32.00290,115.93256,,Conveyance,,,
D2001085,Level,Kalgan Rd BD - M081 (Inlet E003/10 Tilli Pl),-32.00083,115.93383,,Conveyance,,,
D2001087,Level,Neerigen Brook Nth MD - Inlet E023 (Next to 98 Girrawheen St),-32.14941,115.98855,,Conveyance,,,
D2001089,Level,Crumpet Creek - M077 (521 Old Dundas Rd),-31.97339,115.98864,,Conveyance,,,
D2001091,Level,Second Rd MD - Kuhl Park CB (Inlet A016),-32.12261,115.99777,,Conveyance,,,
D2001093,Level,Star St BD - M061 (Star St CB) ,-31.98384,115.92538,,Conveyance,,,
D2001095,Level,Cloverdale BD - M079 (Faulkner Pk Sth CB),-31.96208,115.93505,,Conveyance,,,
D2001097,Level,Aberdare Rd BD - M004 (Aberdare Rd CB),-31.96504,115.81424,,Conveyance,,,
D2001099,Level,Subiaco MD - M006 (Claypan CB/Inlet A021),-31.95261,115.80700,,Conveyance,,,
D2001101,Level,Victoria Park MD - Jupiter St CB,-31.98669,115.91929,,Conveyance,,,
D2001103,Level,Victoria Park MD - Somerset St CB,-31.98579,115.91383,,Conveyance,,,
D2001105,Level,Wembley MD - M013 (Mabel Talbot CB),-31.94447,115.81034,,Conveyance,,,
D2001107,Level,Westfield Park MD - M068 (Hemmingway Dr South CB),-32.10817,116.00791,,Conveyance,,,
D2001109,Level,Wharf Street MD - Wharf St CB,-32.01615,115.93343,,Conveyance,,,
D2001111,Level,Williams Rd MD - Inlet A026 (Braemore St/Toorak Rd),-32.14034,115.99799,,Conveyance,,,
D2001113,Level,Malaga Dr BD - Cogla St CB,-31.85940,115.90332,,Conveyance,,,
D2001115,Level,Black Creek BD - Banksia Rd CB,-31.99466,115.96450,,Conveyance,,,
D2001117,Level,Treasure Rd BD - Treasure Rd CB,-31.99402,115.95026,,Conveyance,,,
D2001119,Level,Woodlupine Brook BD - William St Sth CB (Inlet X017),-32.00842,115.97375,,Conveyance,,,
D2001121,Level,Woodlupine Brook BD - Hale Rd Culvert (Inlet D070),-31.98515,116.01731,,Conveyance,,,
D2001123,Level,Yule Brook MD - M038 (Inlet A013/Railway Pde),-32.02801,115.96107,,Conveyance,,,
D2001125,Level,Yule Brook MD - M041 (32 Ladywell St),-32.03256,115.95882,,Conveyance,,,
D2001127,Level,Woodlupine Brook BD - M049 (Inlet D042/Cypress Rd),-31.99056,115.99747,,Conveyance,,,
D2001162,Level,Essex St MD - MH A010 (Packenham St/Nairn St),-32.05637,115.74556,,Conveyance,,,
D2001164,Level,Essex St MD - MH A018 (Holdsworth St/Parry St),-32.05393,115.75175,,Conveyance,,,
D2001166,Level,Howard St MD - MH A003 (14 Howard St),-32.05989,115.75017,,Conveyance,,,
D2001184,Level,Cobb St BD - MH E002 (12 Colin Rd),-31.90019,115.76684,,Conveyance,,,
D2001186,Level,Bayview Tce MD - MH A006 (12 Princess Rd),-31.98647,115.78296,,Conveyance,,,
D2001188,Level,Wellington St BD - MH C006 (M117A/Pier St),-31.95211,115.86410,,Conveyance,,,
D2001190,Level,Maylands-Inglewood MD - MH A020 (Central Ave/John St),-31.92617,115.88350,,Conveyance,,,
D2001192,Level,Milligan St BD - MH F005 ,-31.94884,115.85374,,Conveyance,,,
D2001212,Level,Bannister Creek MD - Inlet A003 (Bursaria Cr/Hybanthus Rd),-32.03797,115.91745,,Conveyance,,,
D2001215,Level,Deanmore SQ BD - M126 (Deanmore Sq CB/Outlet D005),-31.89692,115.76482,,Conveyance,,,
D2001217,Level,Durban St BD - Inlet C007 (21 Durban St),-31.94459,115.93431,,Conveyance,,,
D2001218,Level,Helm St MD - Inlet A009 (31 Helm St),-32.05646,115.99667,,Conveyance,,,
D2001221,Level,Herdsman Inner Ring Drain - Herdsman Wildlife Centre,-31.92863,115.80523,,Conveyance,,,
D2001222,Level,Mills St MD - MH A002 (45 Fern Rd),-32.01756,115.91929,,Conveyance,,,
D2001227,Level,Neerigen Brook Sth MD - Inlet B036 (31 Dawson St),-32.15535,115.99919,,Conveyance,,,
D2001229,Level,Osborne Park BD - Inlet H017 (51 Telford Cres),-31.89475,115.81192,,Conveyance,,,
D2001230,Level,Rhine Park BD - Inlet F002 (Morrison Rd/Marboro Rd),-31.88617,116.04656,,Conveyance,,,
D2001232,Level,South Belmont MD - Inlet A014 (59 Newlyn St),-31.95546,115.92256,,Conveyance,,,
